X,Y,Z,Event-ID#,date,hour,Flowrate,Pressure
88658.8,122602.1,-3924,66,12/09/2008,2.13,2.49,0.5125
88701,122690,-3925.5,67,12/09/2008,2.133,2.6,0.5275
88746.5,122645,-3926.5,68,12/09/2008,2.141,2.7,0.5425
88759.8,122683.9,-3926.5,69,12/09/2008,2.153,2.81,0.56
88532.2,122731.6,-3926.8,70,12/09/2008,2.157,2.91,0.575
88709.7,122750.1,-3926.9,71,12/09/2008,2.163,3.02,0.5925
88511,122016.3,-3927.3,72,12/09/2008,2.19,3.12,0.6075
88730,122584.8,-3929.4,73,12/09/2008,2.212,3.23,0.625
88257.6,121970.6,-3929.5,74,12/09/2008,2.219,3.33,0.6425
88730.6,122587.8,-3929.8,75,12/09/2008,2.221,3.44,0.6575
88685.1,122588.7,-3930,76,12/09/2008,2.251,3.55,0.675
88684.1,122592.8,-3930.2,77,12/09/2008,2.256,3.65,0.6925
88801.8,122638,-3930.2,78,12/09/2008,2.265,3.76,0.71
88621.9,122900.9,-3930.6,79,12/09/2008,2.281,3.86,0.725
88639.4,122566.2,-3931.3262,80,12/09/2008,2.307,3.86,0.7425
88413.7,122868,-3931.7,81,12/09/2008,2.366,3.86,0.76
88465,122791.2,-3932.8,82,12/09/2008,2.473,3.86,0.775
88514.6,122724.3,-3932.8,83,12/09/2008,2.481,3.86,0.7925
88559,122609.8,-3933,84,12/09/2008,2.513,3.86,0.81
88641.3,122576.4,-3934,85,12/09/2008,2.52,3.86,0.8275
88595.5,122561.5,-3934.3,86,12/09/2008,2.521,3.86,0.8425
88593.4,122547.9,-3934.3,87,12/09/2008,2.544,3.86,0.86
88680.6,122583.2,-3934.4,88,12/09/2008,2.547,3.86,0.8775
88583,122566.3,-3935.4,89,12/09/2008,2.574,3.86,0.8925
88631.4,122887,-3937.3,90,12/09/2008,2.598,3.86,0.91
88451.1,122892.5,-3938.4,91,12/09/2008,2.611,3.86,0.9275
88616.4,122886.6,-3938.5,92,12/09/2008,2.665,3.86,0.9425
88535.7,122578.6,-3939.8987,93,12/09/2008,2.67,3.87,0.96
88643.8,122895.3,-3940.4,94,12/09/2008,2.7,3.88,0.975
88490.6,122855.4,-3941.3,95,12/09/2008,2.704,3.86,0.9925
88620.5,122571,-3941.4,96,12/09/2008,2.718,3.95,1.0075
87800.5,121032.1,-3942.1,97,12/09/2008,2.74,3.94,1.0225
88512.8,122813.4,-3942.4,98,12/09/2008,2.751,3.98,1.04
88475.7,122763.6,-3943,99,12/09/2008,2.803,4.01,1.055
88608.3,122881.6,-3944.6,100,12/09/2008,2.927,4.05,1.07
88394.5,122930.3,-3945.2,101,12/09/2008,2.938,4.2,1.085
88630.4,122917.3,-3946.1,102,12/09/2008,2.951,4.36,1.1
88595.2,122873.4,-3946.7,103,12/09/2008,3.093,4.59,1.115
88171.4,121086.6,-3947.2,104,12/09/2008,3.127,4.68,1.13
88361.7,121928.2,-3947.5883,105,12/09/2008,3.153,4.69,1.145
88353.1,121957.3,-3947.7,106,12/09/2008,3.156,4.68,1.16
87377.6,121356.7,-3948.6,107,12/09/2008,3.181,4.7,1.175
88033.8,121087.8,-3948.8,108,12/09/2008,3.188,4.78,1.1875
88618.3,122523.9,-3949.1,109,12/09/2008,3.204,4.37,1.2025
87375.6,121317.6,-3949.2,110,12/09/2008,3.22,4.23,1.215
87419.4,121309.3,-3949.9,111,12/09/2008,3.247,5.78,1.23
87351.1,121329.5,-3950.7,112,12/09/2008,3.249,5.03,1.2425
87371.7,121305,-3950.9,113,12/09/2008,3.257,7.83,1.255
87376.4,121308.8,-3950.9,114,12/09/2008,3.261,5.62,1.2675
87814.8,121010.4,-3951.2,115,12/09/2008,3.322,5.78,1.28
88616.2,122847.5,-3952.4,116,12/09/2008,3.379,5.93,1.2925
88599.8,122907.8,-3952.4,117,12/09/2008,3.501,6,1.305
88347.8,121969,-3953.1,118,12/09/2008,3.566,6.03,1.3175
88582,122920.1,-3953.5368,119,12/09/2008,3.572,6.08,1.33
88545.5,122889.5,-3954.4,120,12/09/2008,3.581,6.12,1.34
88336.7,121919.1,-3954.6974,121,12/09/2008,3.589,6.29,1.3525
88616.2,122859.9,-3954.7,122,12/09/2008,3.597,6.38,1.3625
87433.7,121425,-3954.9,123,12/09/2008,3.609,7.48,1.3725
88517,122928.3,-3955.198,124,12/09/2008,3.615,7.3,1.385
87435.1,121445.4,-3955.3,125,12/09/2008,3.652,7.62,1.395
88148.3,121524.6,-3955.6,126,12/09/2008,3.699,7.9,1.405
87411.5,121405.4,-3955.6,127,12/09/2008,3.723,7.34,1.415
88150.9,121523,-3956.2,128,12/09/2008,3.811,7.36,1.425
88540.5,122833.6,-3956.2,129,12/09/2008,3.825,7.38,1.4325
88322.4,121928.3,-3956.2,130,12/09/2008,3.873,7.4,1.4425
87473.8,121439,-3956.3,131,12/09/2008,3.9,7.42,1.4525
88279,121570.3,-3956.3,132,12/09/2008,3.942,7.44,1.46
88292.5,121596.7,-3956.4,133,12/09/2008,3.95,7.46,1.47
88271.6,121623.7,-3956.5,134,12/09/2008,3.957,7.48,1.4775
87461.2,121423.5,-3956.8,135,12/09/2008,3.981,7.5,1.485
88263.7,121561.6,-3957,136,12/09/2008,3.985,7.52,1.4925
88280.4,121591.5,-3957.1,137,12/09/2008,3.991,7.54,1.5
88529.8,122936.7,-3957.7,138,12/09/2008,4.01,7.56,1.5075
88576.9,122888.9,-3957.9928,139,12/09/2008,4.032,7.58,1.515
88167.8,121583.2,-3958.4527,140,12/09/2008,4.044,7.6,1.5225
88188.6,121615.8,-3958.7,141,12/09/2008,4.059,7.62,1.53
87877.5,121043,-3958.8809,142,12/09/2008,4.087,7.64,1.5375
87447.5,121411.9,-3959.3,143,12/09/2008,4.101,7.66,1.545
88250.3,121515.2,-3959.7,144,12/09/2008,4.108,7.68,1.55
88074.3,121505.3,-3960.3816,145,12/09/2008,4.12,7.7,1.5575
88489.7,122953.5,-3960.6273,146,12/09/2008,4.154,7.72,1.5625
88284.5,121587.3,-3960.7,147,12/09/2008,4.18,7.74,1.57
88167.8,121626.6,-3961.2,148,12/09/2008,4.189,7.76,1.575
87476.4,121328.7,-3961.3051,149,12/09/2008,4.198,7.78,1.5825
87464.5,121350.3,-3961.5,150,12/09/2008,4.216,7.8,1.5875
87590.4,121326.9,-3961.5,151,12/09/2008,4.217,7.82,1.5925
88421,122894.2,-3961.7373,152,12/09/2008,4.251,7.84,1.6
87448,121391.8,-3962.1448,153,12/09/2008,4.258,7.86,1.605
88064.6,120999.5,-3962.7,154,12/09/2008,4.269,7.88,1.61
88579.4,122843.8,-3962.8,155,12/09/2008,4.273,7.9,1.6175
88215.9,121528.9,-3963.6,156,12/09/2008,4.305,8.24,1.6225
88061.7,120971.5,-3963.8,157,12/09/2008,4.36,8.24,1.6275
88018.3,120948.6,-3963.8868,158,12/09/2008,4.364,8.24,1.6325
88041,121049.7,-3964,159,12/09/2008,4.377,8.24,1.64
88101.1,121033.8,-3964,160,12/09/2008,4.383,8.24,1.645
87970.2,120975.9,-3964.4,161,12/09/2008,4.388,8.24,1.65
88069.1,120864.6,-3965.3,162,12/09/2008,4.392,8.24,1.6575
88152.8,120956.3,-3966.0693,163,12/09/2008,4.393,8.24,1.6625
88304.5,121961.2,-3966.1,164,12/09/2008,4.453,8.24,1.67
88077.6,121026.1,-3966.6,165,12/09/2008,4.468,8.25,1.675
88423.9,122835.8,-3966.7,166,12/09/2008,4.498,8.26,1.6825
88545.1,122918.9,-3966.8,167,12/09/2008,4.513,8.24,1.6875
88365.9,122789,-3966.9,168,12/09/2008,4.523,8.31,1.695
88076.9,121561.7,-3967.2,169,12/09/2008,4.549,8.34,1.7025
88118,121562.2,-3967.3,170,12/09/2008,4.559,8.32,1.7075
88135.8,121542.9,-3967.8938,171,12/09/2008,4.561,8.32,1.715
88024.4,121678.3,-3967.9,172,12/09/2008,4.603,8.33,1.7225
88596.3,122921.3,-3968.3163,173,12/09/2008,4.748,8.34,1.73
88373.3,122855.4,-3968.6,174,12/09/2008,4.78,8.36,1.7375
88374.7,122912.3,-3968.9736,175,12/09/2008,4.821,8.35,1.7475
88346.2,122873.2,-3969.1265,176,12/09/2008,4.888,8.37,1.755
88385.9,122829.6,-3969.3,177,12/09/2008,5.054,8.37,1.7625
88587.5,122952.3,-3969.3,178,12/09/2008,5.176,8.36,1.7725
88614.8,122941.3,-3969.4099,179,12/09/2008,5.204,8.38,1.7825
88518.2,122948.8,-3969.9,180,12/09/2008,5.234,8.39,1.7925
88123.4,120976.9,-3970.1,181,12/09/2008,5.289,8.4,1.8025
88476.3,122936.1,-3970.2,182,12/09/2008,5.343,8.42,1.8125
88598.6,122946.9,-3970.2,183,12/09/2008,5.348,8.41,1.8225
88483,122949.2,-3970.3333,184,12/09/2008,5.415,8.43,1.835
88484.4,122967.8,-3970.7,185,12/09/2008,5.438,8.43,1.845
88451.3,122898.3,-3971.5,186,12/09/2008,5.518,8.43,1.8575
88518.3,122469.1,-3971.5,187,12/09/2008,5.53,8.44,1.87
88450.7,122918.8,-3971.5516,188,12/09/2008,5.54,8.45,1.8825
88466.8,122900,-3971.6,189,12/09/2008,5.573,8.44,1.895
88522.8,122412.1,-3971.8,190,12/09/2008,5.624,8.43,1.91
88492.6,122416.8,-3972.4,191,12/09/2008,5.633,8.32,1.925
88560.5,122349,-3972.5,192,12/09/2008,5.637,8.34,1.94
88476.1,122945.4,-3972.9,193,12/09/2008,5.64,8.36,1.955
88473.5,122905.6,-3973.2256,194,12/09/2008,5.644,8.38,1.97
88518.7,122445,-3973.8,195,12/09/2008,5.669,8.31,1.9875
88434.4,122910.5,-3973.9,196,12/09/2008,5.671,8.37,2.005
88431.7,122879.4,-3974.6,197,12/09/2008,5.678,8.39,2.0225
88497.3,122883.7,-3974.8,198,12/09/2008,5.683,8.4,2.04
88369.8,122795.9,-3975.5,199,12/09/2008,5.712,8.42,2.0575
88394,122738.6,-3975.7587,200,12/09/2008,5.721,8.44,2.0775
88496.6,122414.8,-3976,201,12/09/2008,5.726,8.45,2.0975
88535.1,122388,-3976.3435,202,12/09/2008,5.734,8.42,2.12
88425.9,122815.7,-3976.3878,203,12/09/2008,5.749,8.46,2.14
88544.1,122344.7,-3976.9217,204,12/09/2008,5.768,8.45,2.1625
88654.1,122921.8,-3977,205,12/09/2008,5.791,8.45,2.185
88523.1,122374.3,-3977.1,206,12/09/2008,5.8,8.45,2.2075
88504.6,122367.8,-3977.2084,207,12/09/2008,5.824,8.45,2.2325
88452.5,122369.5,-3977.5664,208,12/09/2008,5.828,8.45,2.255
88494.5,122366.4,-3977.7,209,12/09/2008,5.835,4.47,2.2825
88499.7,122394.1,-3978,210,12/09/2008,5.839,8.46,2.3075
88494.4,122387.5,-3978.6227,211,12/09/2008,5.875,8.45,2.335
88333.3,122723.9,-3978.6247,212,12/09/2008,5.881,8.46,2.3625
88473.4,122423.1,-3979,213,12/09/2008,5.885,8.45,2.39
88432,122787.4,-3979.0381,214,12/09/2008,5.898,8.46,2.4175
88427.6,122898.7,-3979.2946,215,12/09/2008,5.925,8.46,2.4475
88495.3,122355.7,-3979.6925,216,12/09/2008,5.935,8.46,2.4775
88569.4,122932.7,-3979.9,217,12/09/2008,5.954,8.47,2.5075
88405.9,122790.2,-3980.3,218,12/09/2008,5.968,8.49,2.54
88372.7,122769.9,-3980.4539,219,12/09/2008,5.973,8.51,2.5725
88500.8,122924.5,-3980.5,220,12/09/2008,5.977,8.53,2.605
88450.9,122812.2,-3980.5,221,12/09/2008,5.987,8.55,2.6375
88398.5,122786.6,-3980.8,222,12/09/2008,5.991,8.57,2.6725
88431.1,122763,-3980.9853,223,12/09/2008,5.999,8.59,2.7075
88428.3,122788.5,-3981.1,224,12/09/2008,6.004,8.61,2.7425
88362.9,122738.6,-3981.2151,225,12/09/2008,6.096,8.63,2.78
88411.3,121899.2,-3981.4,226,12/09/2008,6.147,8.65,2.8175
88495.9,122394.7,-3981.4797,227,12/09/2008,6.194,8.68,2.855
88453.7,122359.3,-3981.6,228,12/09/2008,6.201,8.7,2.8925
88469.7,122379.6,-3981.8,229,12/09/2008,6.206,8.72,2.9325
88564.3,122260.8,-3981.8391,230,12/09/2008,6.209,8.74,2.9725
88484.5,122328.7,-3981.9,231,12/09/2008,6.222,8.76,3.0125
88471.9,122360.7,-3982.8,232,12/09/2008,6.233,8.78,3.0525
88436.1,122814.7,-3982.9,233,12/09/2008,6.241,8.8,3.095
88493.3,122763.4,-3982.9267,234,12/09/2008,6.243,8.82,3.1375
88450.1,122749.5,-3983.1,235,12/09/2008,6.248,8.84,3.18
88455.9,122731.7,-3983.2,236,12/09/2008,6.258,8.86,3.225
88513,122747.5,-3983.4,237,12/09/2008,6.283,8.88,3.2675
88560.9,122796.5,-3983.5,238,12/09/2008,6.291,8.9,3.3125
88439.4,122755.1,-3983.5,239,12/09/2008,6.293,8.92,3.3575
88557.9,122306.1,-3983.6246,240,12/09/2008,6.309,8.94,3.405
88444.4,122759.5,-3983.6293,241,12/09/2008,6.317,8.97,3.45
88555.8,122790.8,-3983.7,242,12/09/2008,6.339,8.99,3.4975
88405.8,122726.7,-3984.1,243,12/09/2008,6.345,9.01,3.545
88544.7,122714.1,-3984.3,244,12/09/2008,6.362,9.03,3.595
88521.1,122729.3,-3984.5,245,12/09/2008,6.368,9.05,3.6425
88518.5,122286.3,-3984.9,246,12/09/2008,6.379,9.07,3.6925
88324,122767.1,-3985.1,247,12/09/2008,6.414,9.09,3.74
88522.7,122751.4,-3985.3,248,12/09/2008,6.419,9.11,3.79
88425.4,122699.3,-3985.5,249,12/09/2008,6.425,9.13,3.8425
88472.6,122747.7,-3985.7784,250,12/09/2008,6.432,9.15,3.8925
88593.6,122743.7,-3985.8854,251,12/09/2008,6.44,9.17,3.9425
88524.6,122715,-3985.9,252,12/09/2008,6.458,9.19,3.995
88335.4,122846.7,-3985.9532,253,12/09/2008,6.464,9.21,4.0475
88530.1,122341.2,-3985.9574,254,12/09/2008,6.49,9.23,4.1
88479.4,122551.2,-3985.9739,255,12/09/2008,6.505,9.26,4.1525
88209.5,121435.9,-3986.088,256,12/09/2008,6.51,9.28,4.205
88406.1,122778.8,-3986.4052,257,12/09/2008,6.516,9.3,4.2575
88549.1,122236.1,-3986.5124,258,12/09/2008,6.603,9.32,4.3125
88485.7,122282.9,-3986.5728,259,12/09/2008,6.641,9.34,4.365
88496.6,122281.3,-3986.6713,260,12/09/2008,6.645,9.36,4.42
88549.3,122230.8,-3986.7,261,12/09/2008,6.651,9.38,4.475
88496.6,122261.9,-3986.9894,262,12/09/2008,6.728,9.4,4.5275
88444.3,122845.4,-3987,263,12/09/2008,6.823,9.42,4.5825
88600.5,122740.9,-3987.1,264,12/09/2008,6.905,9.44,4.6375
88719,122754.7,-3987.1,265,12/09/2008,7.098,9.46,4.6925
88677.2,122834.5,-3987.2,266,12/09/2008,7.113,9.48,4.7475
88482.4,122596.8,-3987.2336,267,12/09/2008,7.168,9.5,4.8025
88504.2,122622.9,-3987.2782,268,12/09/2008,7.182,9.52,4.8575
87480,121694.4,-3987.3,269,12/09/2008,7.216,9.55,4.9125
88476.4,122576.4,-3987.5,270,12/09/2008,7.232,30,4.9675
88682.5,122348.4,-3987.51,271,12/09/2008,7.238,30.02,5.0225
88484,122555.9,-3987.7569,272,12/09/2008,7.25,29.8,5.0775
88476.5,122577,-3987.8,273,12/09/2008,7.343,30.1,5.1325
88485.3,122545.3,-3987.9,274,12/09/2008,7.351,32,5.1875
88419.7,122604.3,-3987.9,275,12/09/2008,7.36,31.4,5.2425
88468.9,122665.5,-3987.9,276,12/09/2008,7.366,30.48,5.2975
88522.2,122532.5,-3987.9,277,12/09/2008,7.369,30.52,5.35
88389.8,122591,-3987.9618,278,12/09/2008,7.376,31.21,5.405
88431.2,122582.2,-3988,279,12/09/2008,7.389,31.36,5.46
88413.2,122559.6,-3988.2,280,12/09/2008,7.402,31.51,5.5125
88369.4,122628.8,-3988.2,281,12/09/2008,7.407,31.66,5.5675
88405.3,122597.4,-3988.3,282,12/09/2008,7.413,31.81,5.62
88386.2,122572.1,-3988.6,283,12/09/2008,7.421,31.95,5.675
88396.5,122558.7,-3988.6,284,12/09/2008,7.436,32.1,5.7275
88404.4,122761.5,-3988.8,285,12/09/2008,7.445,32.25,5.78
88503.3,122553.4,-3988.9,286,12/09/2008,7.459,32.4,5.8325
88502.9,122551.5,-3988.9233,287,12/09/2008,7.469,30.45,5.885
88384.3,122557,-3989,288,12/09/2008,7.479,30.75,5.935
88498.9,122643.1,-3989,289,12/09/2008,7.493,31.92,5.9875
88471,122537,-3989.1,290,12/09/2008,7.498,31.99,6.0375
88420,122518.1,-3989.2304,291,12/09/2008,7.506,32.06,6.0875
88437.3,122542.3,-3989.2905,292,12/09/2008,7.517,32.13,6.1375
88541.8,122515.2,-3989.3,293,12/09/2008,7.521,29.57,6.1875
88559.2,122535.6,-3989.3,294,12/09/2008,7.523,29.6,6.2375
88442.9,122525,-3989.4,295,12/09/2008,7.529,29.64,6.285
88476.4,122575.6,-3989.4,296,12/09/2008,7.534,29.67,6.3325
88453.7,122593.6,-3989.4,297,12/09/2008,7.536,29.71,6.38
88354.3,122568.9,-3989.4,298,12/09/2008,7.574,29.74,6.4275
88400.5,122532.3,-3989.5,299,12/09/2008,7.579,29.78,6.4725
88405.7,122832.2,-3989.6,300,12/09/2008,7.584,29.81,6.52
88406.1,122510.4,-3989.6954,301,12/09/2008,7.587,29.85,6.565
88401.1,122500.5,-3989.7106,302,12/09/2008,7.6,29.88,6.61
88494.3,122484.4,-3990.1,303,12/09/2008,7.61,29.92,6.6525
88402.2,122591.2,-3990.2726,304,12/09/2008,7.613,29.95,6.6975
88415.9,122554.9,-3990.3014,305,12/09/2008,7.646,29.99,6.74
88456.5,122781.7,-3990.4,306,12/09/2008,7.654,30.02,6.7825
88509.2,122497.2,-3990.4,307,12/09/2008,7.662,30.06,6.8225
88509.6,122623.7,-3990.5,308,12/09/2008,7.671,30.01,6.865
88382.2,122529.8,-3990.5,309,12/09/2008,7.694,30.25,6.905
88433.9,122525.5,-3990.7,310,12/09/2008,7.779,30.15,6.9425
88456.6,122495.6,-3990.7515,311,12/09/2008,7.787,30.16,6.9825
88431.8,122694.6,-3991.2,312,12/09/2008,7.854,30.23,7.02
88461.7,122421.8,-3991.2,313,12/09/2008,7.874,30.27,7.0575
88402.5,122527.4,-3991.3,314,12/09/2008,7.893,30.3,7.095
88461.8,122436.6,-3991.7,315,12/09/2008,7.904,30.34,7.13
88408.4,122503.4,-3991.7777,316,12/09/2008,7.911,30.37,7.165
88430.8,122495,-3991.8,317,12/09/2008,7.915,30.41,7.2
88431.7,122471.4,-3991.8,318,12/09/2008,7.93,30.44,7.235
88383.6,122492.7,-3991.9,319,12/09/2008,7.944,30.48,7.2675
88377.3,122425.2,-3992.1,320,12/09/2008,7.953,30.51,7.3
88372,122500,-3992.3,321,12/09/2008,7.959,30.55,7.33
88332.3,122500.8,-3992.3,322,12/09/2008,7.962,30.58,7.3625
88344.8,122495.5,-3992.3062,323,12/09/2008,7.967,30.62,7.3925
88366.6,122454,-3992.7,324,12/09/2008,7.971,30.65,7.42
88486.7,122510.8,-3992.7608,325,12/09/2008,7.985,33.2,7.45
88482.1,122513.9,-3992.8,326,12/09/2008,7.991,32,7.4775
88410.8,122553.2,-3992.8829,327,12/09/2008,7.999,32.59,7.505
88491.6,122480.8,-3992.8875,328,12/09/2008,8.004,32.45,7.53
88450,122524.9,-3993.1,329,12/09/2008,8.015,32.62,7.555
88421.5,122572,-3993.4,330,12/09/2008,8.026,32.48,7.58
88387.5,122411.5,-3993.4,331,12/09/2008,8.042,32.49,7.605
88464.6,122508.7,-3993.7116,332,12/09/2008,8.043,32.11,7.6275
88495.8,122522,-3993.7229,333,12/09/2008,8.049,31.48,7.65
88485.1,122469.2,-3993.7643,334,12/09/2008,8.058,31.52,7.6725
88514.3,122482.8,-3993.8,335,12/09/2008,8.062,30,7.6925
88479.6,122461.1,-3993.8717,336,12/09/2008,8.064,30.16,7.7125
88481.8,122454.7,-3993.9804,337,12/09/2008,8.077,30.02,7.7325
88382.1,122652,-3994,338,12/09/2008,8.089,30.05,7.7525
88552.5,122533.4,-3994,339,12/09/2008,8.105,30.04,7.77
88427.5,122476.2,-3994.0999,340,12/09/2008,8.112,30.06,7.7875
88455,122438.3,-3994.1,341,12/09/2008,8.118,30.07,7.805
88404.7,122508.1,-3994.2,342,12/09/2008,8.122,30.15,7.8225
88453.1,122478.7,-3994.3,343,12/09/2008,8.143,30,7.8375
88451.7,122484.1,-3994.3407,344,12/09/2008,8.146,31.03,7.8525
88354.4,122445.1,-3994.6,345,12/09/2008,8.168,31.04,7.865
88304,122470,-3994.6566,346,12/09/2008,8.256,31.06,7.88
88398.4,122516,-3994.8,347,12/09/2008,8.262,31.07,7.8925
88617.4,122521.1,-3994.8,348,12/09/2008,8.346,31.08,7.905
88545.3,122579.8,-3994.8,349,12/09/2008,8.351,31.09,7.9175
88558.3,122601.6,-3994.9,350,12/09/2008,8.364,31.1,7.9275
88551,122469.4,-3995.0499,351,12/09/2008,8.399,31.11,7.9375
88494.5,122491.3,-3995.1,352,12/09/2008,8.404,31.12,7.9475
88569.1,122480.2,-3995.1021,353,12/09/2008,8.433,31.13,7.9575
88509.4,122447.6,-3995.2433,354,12/09/2008,8.435,31.14,7.9675
88473.5,122517,-3995.2722,355,12/09/2008,8.454,31.16,7.975
88553.4,122471.4,-3995.2883,356,12/09/2008,8.465,31.17,7.9825
88572.1,122431.2,-3995.3,357,12/09/2008,8.484,31.18,7.99
88570.6,122489.2,-3996,358,12/09/2008,8.492,31.19,7.9975
88567,122497.6,-3996,359,12/09/2008,8.5,31.2,8.0025
88594.1,122484.7,-3996.1,360,12/09/2008,8.501,31.21,8.01
88478.7,122436,-3996.1,361,12/09/2008,8.505,31.22,8.015
88650.6,122523.5,-3996.4,362,12/09/2008,8.519,31.23,8.02
88538.1,122462.3,-3996.441,363,12/09/2008,8.529,31.24,8.025
88369.7,122548.5,-3996.5,364,12/09/2008,8.537,31.26,8.0275
88508.3,122392.7,-3996.8,365,12/09/2008,8.545,31.27,8.0325
88558.9,122466.7,-3996.8,366,12/09/2008,8.552,31.28,8.035
88588.9,122448.7,-3996.8,367,12/09/2008,8.555,31.29,8.0375
88531.9,122404.2,-3997,368,12/09/2008,8.563,31.3,8.04
88631.5,122457.6,-3997.2,369,12/09/2008,8.587,31.31,8.0425
88609.2,122479.3,-3997.4602,370,12/09/2008,8.6,31.32,8.045
88389,122558.2,-3997.4992,371,12/09/2008,8.609,31.33,8.045
88328,122636.2,-3997.5,372,12/09/2008,8.619,31.34,8.0475
88365.8,122546.8,-3997.5482,373,12/09/2008,8.643,31.36,8.0475
88683,122532.6,-3997.6,374,12/09/2008,8.689,31.37,8.0475
88531.9,122443.9,-3997.9,375,12/09/2008,8.716,31.38,8.05
88358.5,122521.3,-3998.1799,376,12/09/2008,8.725,31.39,8.05
88672,122463.9,-3998.1942,377,12/09/2008,8.729,31.4,8.05
88540.5,122573.3,-3998.2297,378,12/09/2008,8.751,31.41,8.0475
88304.8,122889.8,-3998.4,379,12/09/2008,8.765,31.42,8.0475
